ReservationID,Room,Course,Code,Day,StartTime,EndTime,Type,Month,Year,Date
R1762015235376,Room 101,Science,456789123,WEDNESDAY,13:00,15:00,TERM,AUGUST,2025,6
R1762015235377,Room 101,Science,456789123,WEDNESDAY,13:00,15:00,TERM,AUGUST,2025,13
R1762015235377,Room 101,Science,456789123,WEDNESDAY,13:00,15:00,TERM,AUGUST,2025,20
R1762015235377,Room 101,Science,456789123,WEDNESDAY,13:00,15:00,TERM,AUGUST,2025,27
R1762015235378,Room 101,Science,456789123,WEDNESDAY,13:00,15:00,TERM,SEPTEMBER,2025,3
R1762015235378,Room 101,Science,456789123,WEDNESDAY,13:00,15:00,TERM,SEPTEMBER,2025,10
R1762015235378,Room 101,Science,456789123,WEDNESDAY,13:00,15:00,TERM,SEPTEMBER,2025,17
R1762015235378,Room 101,Science,456789123,WEDNESDAY,13:00,15:00,TERM,SEPTEMBER,2025,24
R1762015235379,Room 101,Science,456789123,WEDNESDAY,13:00,15:00,TERM,OCTOBER,2025,1
R1762015235380,Room 101,Science,456789123,WEDNESDAY,13:00,15:00,TERM,OCTOBER,2025,8
R1762015235380,Room 101,Science,456789123,WEDNESDAY,13:00,15:00,TERM,OCTOBER,2025,15
R1762015235380,Room 101,Science,456789123,WEDNESDAY,13:00,15:00,TERM,OCTOBER,2025,22
R1762015235381,Room 101,Science,456789123,WEDNESDAY,13:00,15:00,TERM,OCTOBER,2025,29
R1762015235381,Room 101,Science,456789123,WEDNESDAY,13:00,15:00,TERM,NOVEMBER,2025,5
R1762015235381,Room 101,Science,456789123,WEDNESDAY,13:00,15:00,TERM,NOVEMBER,2025,12
R1762015235382,Room 101,Science,456789123,WEDNESDAY,13:00,15:00,TERM,NOVEMBER,2025,19
R1762015235382,Room 101,Science,456789123,WEDNESDAY,13:00,15:00,TERM,NOVEMBER,2025,26
